dataset,chars,words,sentences,emojis,emoticons,urls,emails,mentions,repeated_chars,teencode,english_tokens,phrase_hits
processed,779,167,6,0,0,0,0,0,0,4,11,0
processed,617,126,12,0,0,0,0,0,0,1,8,0
processed,220,46,4,0,0,0,0,0,0,0,0,0
processed,450,89,10,0,0,0,0,0,0,0,11,0
processed,196,41,4,0,0,0,0,0,0,0,4,0
processed,3215,614,4,1,0,0,0,0,0,5,51,1
processed,371,72,2,0,0,0,0,0,0,0,5,0
processed,330,61,1,0,0,0,0,0,0,1,7,0
processed,517,101,8,0,0,0,0,0,0,0,14,0
processed,24,6,1,0,0,0,0,0,0,1,0,0
processed,518,101,3,0,0,0,0,0,0,0,8,0
processed,145,24,2,0,0,0,0,0,0,0,0,0
processed,1175,195,7,0,0,0,0,0,0,3,11,0
processed,177,31,3,0,0,0,0,0,0,1,1,0
processed,110,22,2,0,0,0,0,0,0,0,4,0
processed,334,57,4,0,0,0,0,0,0,0,5,0
processed,237,43,1,0,0,0,0,0,0,0,3,0
processed,791,177,9,0,0,0,0,0,0,1,9,0
processed,146,24,1,0,0,0,0,0,0,0,0,2
processed,34,6,2,0,0,0,0,0,0,0,0,0
processed,128,26,1,0,0,0,0,0,0,0,2,0
processed,285,56,7,0,0,0,0,0,0,0,3,0
processed,185,37,1,0,0,0,0,0,0,0,6,0
processed,471,104,4,0,0,0,0,0,0,4,10,0
processed,58,11,2,0,0,0,0,0,0,0,0,0
processed,389,86,6,0,0,0,0,0,0,1,4,0
processed,320,71,9,0,0,0,0,0,0,1,4,0
processed,327,73,7,0,0,0,0,0,0,2,1,0
processed,83,15,1,0,0,0,0,0,0,0,0,0
processed,916,175,6,0,0,0,0,0,0,0,15,1
processed,451,88,5,0,0,0,0,0,0,0,7,0
processed,1883,388,16,0,0,0,0,0,0,4,24,0
processed,327,73,6,0,0,0,0,0,0,1,7,0
processed,24,8,2,0,0,0,0,0,0,1,2,0
processed,724,134,1,1,0,0,0,0,0,0,15,0
processed,150,32,6,0,0,0,0,0,0,1,2,0
processed,135,22,1,0,0,0,0,0,0,0,1,2
processed,1305,276,16,0,0,0,0,0,0,0,27,0
processed,252,53,7,0,0,0,0,0,0,0,5,0
processed,1425,291,6,0,0,0,0,0,0,3,24,0
processed,545,105,4,0,0,0,0,0,0,1,10,0
processed,499,99,7,0,0,0,0,0,0,1,8,0
processed,868,170,10,4,0,0,0,0,0,1,18,0
processed,803,203,6,0,0,0,0,0,0,3,23,0
processed,93,22,2,0,0,0,0,0,0,1,1,0
processed,143,30,1,0,0,0,0,0,0,0,5,0
