dataset,chars,words,sentences,emojis,emoticons,urls,emails,mentions,repeated_chars,teencode,english_tokens,phrase_hits
raw,182,44,4,0,0,0,0,0,0,1,3,1
raw,235,55,4,2,0,0,0,0,0,0,4,3
raw,74,19,2,0,0,0,0,0,0,0,3,0
raw,262,65,5,0,0,0,0,0,0,1,7,1
raw,370,74,1,2,1,0,0,0,1,0,11,4
raw,567,123,16,0,0,0,0,0,0,0,20,0
raw,203,45,2,0,0,0,0,0,0,0,5,1
raw,402,87,5,1,0,0,0,0,0,1,10,3
raw,263,54,3,0,0,0,0,0,0,0,12,0
raw,405,97,8,0,0,0,0,0,1,2,15,1
raw,79,13,2,0,0,0,0,0,0,0,0,0
raw,372,84,6,1,0,0,0,0,1,2,15,2
raw,72,15,2,0,1,0,0,0,0,0,3,1
raw,623,155,6,4,4,0,0,0,0,6,22,1
raw,438,98,5,1,0,0,0,0,0,0,14,1
raw,1848,399,28,0,0,0,0,0,1,0,56,0
raw,27,6,1,0,0,0,0,0,0,0,1,0
raw,474,133,5,0,2,0,0,0,0,3,19,1
raw,29,5,1,0,0,0,0,0,0,0,0,0
raw,107,18,1,0,0,0,0,0,0,0,2,2
raw,100,25,3,0,1,0,0,0,0,0,5,0
raw,248,47,3,0,1,0,0,0,0,0,5,1
raw,160,36,2,2,0,0,0,0,0,0,9,1
raw,110,28,3,0,0,0,0,0,0,0,1,0
raw,173,36,1,0,0,0,0,0,0,0,4,2
raw,741,158,4,1,0,0,0,0,1,2,16,4
raw,119,23,1,2,0,0,0,0,0,0,3,1
raw,118,25,3,2,0,0,0,0,1,0,3,1
raw,290,55,2,0,0,0,0,0,0,0,7,3
raw,131,29,5,0,0,0,0,0,0,1,3,0
raw,1002,246,22,6,6,0,0,0,5,10,30,4
raw,546,121,1,0,0,0,0,0,0,2,23,1
raw,471,98,7,0,0,0,0,0,0,1,16,7
raw,509,123,10,0,0,0,0,0,0,0,12,0
raw,861,198,9,3,0,0,0,0,0,0,15,5
raw,540,116,6,1,0,0,0,0,0,0,13,2
raw,65,11,1,2,0,0,0,0,1,0,3,2
raw,295,70,3,0,0,0,0,0,0,2,8,0
raw,107,28,2,1,0,0,0,0,0,2,3,1
raw,734,166,6,0,0,0,0,0,1,2,24,9
raw,575,134,11,0,0,0,0,0,1,0,20,1
raw,201,53,4,0,0,0,0,0,0,0,1,2
raw,418,94,9,0,1,0,0,0,0,3,19,3
raw,189,42,4,0,0,0,0,0,0,0,4,1
raw,2921,641,4,16,3,0,0,0,4,3,94,16
raw,362,74,2,0,0,0,0,0,0,0,7,1
raw,318,66,1,0,0,0,0,0,0,1,11,0
raw,492,104,7,0,1,0,0,0,1,1,19,2
raw,23,6,1,0,0,0,0,0,0,0,0,0
raw,507,105,3,0,1,0,0,0,0,0,15,1
raw,128,29,2,0,1,0,0,0,0,2,5,1
raw,1006,197,4,6,1,0,0,0,1,3,37,3
raw,164,33,3,0,0,0,0,0,0,2,2,2
raw,98,22,2,1,0,0,0,0,0,0,4,1
raw,324,58,4,0,0,0,0,0,0,0,10,2
raw,225,45,1,0,0,0,0,0,0,0,8,2
raw,727,178,9,0,0,0,0,0,1,2,22,2
raw,123,25,1,2,0,0,0,0,0,0,3,7
raw,27,8,2,0,1,0,0,0,0,0,1,1
raw,127,28,1,0,0,0,0,0,0,0,3,2
raw,242,59,6,1,0,0,0,0,2,0,5,1
raw,147,34,1,1,0,0,0,0,0,0,13,2
raw,450,107,4,0,0,0,0,0,0,1,11,2
raw,52,11,2,0,1,0,0,0,0,0,1,0
raw,364,86,6,0,0,0,0,0,0,1,9,0
raw,301,73,9,0,0,0,0,0,0,1,8,0
raw,274,65,4,3,0,0,0,0,4,1,7,3
raw,84,16,1,0,0,0,0,0,0,0,2,0
raw,851,177,6,0,3,0,0,0,0,0,25,5
raw,406,88,5,4,0,0,0,0,0,0,11,2
raw,1792,414,16,0,0,0,0,0,0,2,45,7
raw,312,74,6,0,0,0,0,0,1,1,12,0
raw,19,8,2,0,0,0,0,0,0,0,2,0
raw,620,134,1,7,0,0,0,0,1,2,27,2
raw,133,33,6,1,0,0,0,0,0,1,3,2
raw,132,26,1,0,0,0,0,0,0,0,1,7
raw,1245,282,13,0,0,0,0,0,0,0,37,1
raw,239,53,7,0,0,0,0,0,0,0,7,0
raw,1286,294,6,1,0,0,0,0,0,9,53,1
raw,530,107,1,0,0,0,0,0,1,2,13,7
raw,473,102,7,0,0,0,0,0,0,1,17,1
raw,752,176,10,5,0,0,0,0,0,0,32,2
raw,742,208,6,0,0,0,0,0,0,0,28,3
raw,84,23,1,0,0,0,0,0,1,1,2,0
raw,136,34,1,0,0,0,0,0,0,0,5,0
raw,96,24,2,0,0,0,0,0,0,0,2,0
raw,949,211,10,0,0,0,0,0,0,4,32,2
raw,709,154,6,1,0,0,0,0,0,2,12,4
raw,275,65,8,0,0,0,0,0,0,3,16,0
raw,543,112,6,0,1,0,0,0,1,3,11,1
raw,186,39,1,0,0,0,0,0,1,0,7,0
raw,142,35,2,0,0,0,0,0,0,0,3,0
raw,513,123,7,0,0,0,0,0,0,4,14,3
raw,216,43,3,0,0,0,0,0,0,2,7,0
raw,120,30,2,0,0,0,0,0,0,0,4,0
raw,349,72,4,0,0,0,0,0,0,0,8,2
raw,44,9,1,1,0,0,0,0,1,0,2,0
raw,77,17,1,1,0,0,0,0,0,0,2,1
raw,613,151,3,0,0,0,0,0,0,4,13,1
raw,198,45,5,0,1,0,0,0,0,1,3,1
raw,559,117,3,0,0,0,0,0,0,0,16,1
raw,127,23,3,0,1,0,0,0,1,0,5,3
raw,725,152,8,0,0,0,0,0,4,0,19,1
raw,672,156,8,1,0,0,0,0,0,0,23,5
raw,222,46,6,0,0,0,0,0,0,1,5,3
raw,96,21,1,0,1,0,0,0,1,0,5,1
raw,196,45,3,0,0,0,0,0,0,0,7,7
raw,15,3,1,0,0,0,0,0,0,0,0,0
raw,470,111,4,2,1,0,0,0,1,1,14,5
raw,255,53,4,0,0,0,0,0,0,0,9,3
raw,504,108,2,0,0,0,0,0,4,0,20,2
raw,93,23,1,0,1,0,0,0,0,0,6,0
raw,390,86,4,2,0,0,0,0,0,0,14,2
raw,13,3,1,0,0,0,0,0,0,0,0,1
raw,816,168,1,5,0,0,0,0,2,3,34,2
raw,117,23,1,1,0,0,0,0,0,0,0,1
raw,2063,469,13,6,0,0,0,0,9,4,29,5
raw,89,21,1,0,0,0,0,0,0,0,1,1
raw,335,76,1,4,0,0,0,0,0,1,11,0
raw,198,39,3,0,0,0,0,0,0,0,5,1
raw,36,9,1,1,0,0,0,0,1,0,1,1
raw,114,31,3,0,0,0,0,0,0,1,2,0
raw,7,2,1,0,0,0,0,0,0,0,1,0
raw,36,6,1,0,0,0,0,0,0,0,1,0
raw,415,105,8,0,0,0,0,0,0,3,13,0
raw,174,37,2,0,0,0,0,0,0,1,5,2
raw,678,142,7,1,0,0,0,0,0,0,20,1
raw,144,29,3,0,0,0,0,0,0,2,5,2
raw,253,52,3,0,1,0,0,0,1,0,5,3
raw,4129,913,33,7,1,0,0,0,3,5,144,12
raw,43,12,2,1,0,0,0,0,0,0,1,0
raw,321,74,7,0,0,0,0,0,0,1,10,0
raw,43,12,1,1,0,0,0,0,0,1,0,0
raw,427,101,5,0,0,0,0,0,0,2,7,4
raw,621,144,7,0,0,0,0,0,0,2,19,2
raw,43,8,2,0,0,0,0,0,0,0,0,0
raw,122,35,2,0,0,0,0,0,2,2,4,0
raw,438,90,6,0,1,0,0,0,1,4,17,3
raw,1819,422,25,9,0,0,0,0,1,1,40,1
raw,93,19,3,0,0,0,0,0,0,0,3,0
raw,103,21,3,0,0,0,0,0,0,0,2,1
raw,90,21,1,0,0,0,0,0,0,0,3,1
raw,63,15,2,0,0,0,0,0,0,0,4,3
raw,388,82,1,0,0,0,0,0,0,0,15,1
raw,174,43,1,1,0,0,0,0,0,0,5,0
raw,322,78,5,0,1,0,0,0,0,0,7,6
raw,552,134,9,6,0,0,0,0,0,2,10,3
raw,282,57,1,0,0,0,0,0,0,0,7,2
raw,100,23,2,0,0,0,0,0,0,0,2,0
raw,380,80,1,0,0,0,0,0,0,1,15,2
raw,427,91,2,0,0,0,0,0,0,2,15,4
raw,289,60,4,0,0,0,0,0,0,0,9,1
raw,1066,244,13,1,0,0,0,0,1,0,30,3
raw,264,58,4,0,1,0,0,0,1,0,8,1
raw,673,156,7,0,2,0,0,0,0,1,19,1
raw,1424,299,11,2,0,0,0,0,1,2,20,14
raw,632,153,7,2,0,0,0,0,0,1,24,3
raw,304,69,6,0,0,0,0,0,0,2,4,7
raw,135,34,2,3,0,0,0,0,0,1,3,1
raw,418,96,8,1,0,0,0,0,0,0,7,1
raw,295,69,6,1,0,0,0,0,1,0,4,4
raw,147,35,3,1,0,0,0,0,0,1,6,0
raw,129,30,1,0,0,0,0,0,4,0,2,0
raw,71,13,1,0,0,0,0,0,2,0,5,0
raw,215,45,3,0,0,0,0,0,0,1,10,0
raw,101,22,2,1,0,0,0,0,1,0,5,0
raw,251,57,2,0,0,0,0,0,0,0,10,0
raw,197,46,3,1,0,0,0,0,2,0,6,0
raw,172,41,2,0,0,0,0,0,0,2,6,2
raw,244,59,2,0,0,0,0,0,0,0,3,0
raw,710,144,6,0,0,0,0,0,0,0,10,1
raw,409,102,8,0,0,0,0,0,1,0,13,3
raw,485,105,9,1,0,0,0,0,0,4,16,4
raw,374,85,3,0,0,0,0,0,1,1,7,5
raw,521,122,6,0,1,0,0,0,0,1,13,1
raw,211,51,5,0,0,0,0,0,0,1,8,0
raw,63,16,1,1,0,0,0,0,2,2,2,0
